layer_sheet,name,aliases,source_agency,publication_date,update_date,crs,spatial_coverage,description
Barrios,g03_legales_municipios_edicion_octubre2015,,Junta de Planificación de Puerto Rico,,June 17 2015.,NAD_1983_2011_StatePlane_Puerto_Rico_Virgin_Isls,West_Bounding_Coordinate:-67.954426 East_Bounding_Coordinate:-65.219591 North_Bounding_Coordinate:18.517097 South_Bounding_Coordinate:17.875262,"This dataset contains the territorial boundaries of the municipalities of Puerto Rico. These boundaries are established by the Puerto Rico Planning Board under Law 68 of May 7, 1945, the Municipal and Barrio Territorial Boundary Maps Act of Puerto Rico"
Balnearios,Balnearios 2016,,Puerto Rico Tourism Company Planning and Development Area,Not provided,Not provided,NAD_1983_2011_StatePlane_Puerto_Rico_Virgin_Isls,West_Bounding_Coordinate:-67.256980 East_Bounding_Coordinate:-65.319240 North_Bounding_Coordinate:18.514868 South_Bounding_Coordinate:17.882694,This shapefile indentifies the location of public beach facilities in Puerto Rico. By Puerto Rican Law all beaches are public. The beaches identified in this shapefile are those that have facilities for users and are administer by a public or private or not for profit entity for the purpose of enjoyment. Beaches identified as Blue Flag have a certificate from the Blue Flag program administer by the Fund for Environmental Education.
Comunidades_Especiales,g03_asentamientos_delim_comunidades_especiales,,División del Sistema de Información Geográfica del Departamento de la Vivienda de Puerto Rico,Not provided,Not provided,NAD_1983_2011_StatePlane_Puerto_Rico_Virgin_Isls,West_Bounding_Coordinate: -67.251401 East_Bounding_Coordinate: -65.297029 North_Bounding_Coordinate: 18.509392 South_Bounding_Coordinate: 17.929263,"This dataset is used to locate the Special Communities that receive funding for the construction or rehabilitation of public housing, as well as other development projects within these communities. It represents 712 Special Communities as polygon features and is still being updated to incorporate approximately 30 additional communities"
Critical_wildlife,"Critical_Wildlife_Areas, 2005",,"Negociado de Pesca y Vida Silvestre, División Recursos Terrestres, DRNA",2005-01-01 00:00:00,Not provided,NAD 1983 StatePlane Puerto Rico Virgin Islands FIPS 5200 (Meters),West_Bounding_Coordinate: -67.957252 East_Bounding_Coordinate: -65.219033 North_Bounding_Coordinate: 18.512714 South_Bounding_Coordinate: 17.875305,Identification of critical wildlife habitats in Puerto Rico. A critical habitat is defined as any habitat that is essential for the survival of a species or group of species.
CRIM,"Hydrography Revision, 2001-04 from CRIM Basemap, scale 1:5000, Aguas Buenas, PR Quadrangle",hidrografia_crim_ogp_2006,"Puerto Rico Center for Municipal Revenues (Centro de Recaudación de Ingresos Municipales CRIM) PR Office of Management and Budget, 2006","1996-98, 2006",2006.0,NAD 1983 StatePlane Puerto Rico Virgin Islands FIPS 5200 (Meters),West_Bounding_Coordinate: -66.749841 East_Bounding_Coordinate: -66.624494 North_Bounding_Coordinate: 18.248181 South_Bounding_Coordinate: 18.122879,"Revision of hydrographic layer of CRIM Basemap. This layer was constructed based on Digital Elevation Models, and the most recent imagery (IKONOS, 2001-02) and aerial photography available (USDA, 2004)."
Corredor_Agricola,"Corredor agrícola del sur, desde municipios de Sabana Gande a Patillas, Puerto Rico, 2010",,"Oficina de Preservación de Terrenos, Departamento de Agricultura",2010-06-01 00:00:00,Not provided,NAD 1983 StatePlane Puerto Rico Virgin Islands FIPS 5200 (Meters),"Bounding coordinates: W -66.983256, E -65.955973, N 18.172386, S 17.942251",A contiguous unit of land designated for agricultural purposes
Desalojo,"Zonas de Desalojo por tsunami, Puerto Rico, 2003-2012",,Proyecto Tsunami Ready de la Red Sísmica de Puerto Rico,2002-2012,Not provided,NAD 1983 StatePlane Puerto Rico Virgin Islands FIPS 5200 (Meters),West_Bounding_Coordinate: -67.272165 East_Bounding_Coordinate: -65.219715 North_Bounding_Coordinate: 18.517098 South_Bounding_Coordinate: 17.877392,"Polygons representing tsunami evacuation zones. These are used to produce evacuation maps for municipalities participating in the TsunamiReady program. This file is a compilation of the various tsunami evacuation zones in effect as of February 5, 2014."
Empresas pecuarias,"Empresas pecuarias, octubre 2008",,"División de empresas pecuarias, JCA",2008-10-01 00:00:00,Not provided,NAD 1983 StatePlane Puerto Rico Virgin Islands FIPS 5200 (Meters),West_Bounding_Coordinate: -67.167986 East_Bounding_Coordinate: -65.447739 North_Bounding_Coordinate: 18.509894 South_Bounding_Coordinate: 17.969123,"Ubicación de empresas pecuarias con permisos para operar sistemas de manejo de desperdicios fecales animales. Estas incluyen charcas de oxidación con asperjadores en porquerizas y ganado, además del manejo de gallinaza de aves."
Flooding_Areas,"DIGITAL FLOOD INSURANCE RATE MAP DATABASE, COMMONWEALTH OF PUERTO RICO, PUERTO RICO",,Federal Emergency Management Agency,2009.0,Not provided,NAD 1983 StatePlane Puerto Rico Virgin Islands FIPS 5200 (Meters),West_Bounding_Coordinate: -68.0564 East_Bounding_Coordinate: -64.6672 North_Bounding_Coordinate: 21.5269 South_Bounding_Coordinate: 17.7717,"The Digital Flood Insurance Rate Map (DFIRM) Database depicts flood risk information and supporting data used to develop the risk data. The primary risk classifications used are the 1-percent-annual-chance flood event, the 0.2-percent-annual-chance flood event, and areas of minimal flood risk. The DFIRM Database is derived from Flood Insurance Studies (FISs), previously published Flood Insurance Rate Maps (FIRMs), flood hazard analyses performed in support of the FISs and FIRMs, and new mapping data, where available. The FISs and FIRMs are published by the Federal Emergency Management Agency (FEMA). The file is georeferenced to earth's surface using the UTM projection and coordinate system. The specifications for the horizontal control of DFIRM data files are consistent with those required for mapping at a scale of 1:12,000."
Flood_1.00,g23_riesgo_inunda_FloodZone_1PCT_Seamless_2017,,Federal Emergency Management Agency,2018.0,,NAD_1983_2011_StatePlane_Puerto_Rico_Virgin_Isls,West_Bounding_Coordinate: -67.276811 East_Bounding_Coordinate: -65.217011 North_Bounding_Coordinate: 18.522432 South_Bounding_Coordinate: 17.903487,"The Federal Emergency Management Agency (FEMA) has developed the Advisory Flood Zones. They provide full geospatial representation of the coastal and riverine Advisory Base Flood Elevations (1% annual chance coastal flood hazard), including both storm surge and wave components. FEMA is providing an advisory floodway to provide a geospatial limit of the channel of rivers or other watercourse and the adjacent land areas that must be reserved in order to discharge the base flood without cumulatively increasing the water surface elevation more than the designated height. FEMA has developed the Coastal A Zone to approximate the extent of breaking waves less than 3 ft and equal to and greater than 1.5 ft in height for the 1-Percent-Annual-Chance flood events"
Flood_0.2,g23_riesgo_inunda_FloodZone_0_2PCT_Seamless_2017,,Federal Emergency Management Agency,2018.0,,NAD_1983_2011_StatePlane_Puerto_Rico_Virgin_Isls,West_Bounding_Coordinate: -67.276865 East_Bounding_Coordinate: -65.217017 North_Bounding_Coordinate: 18.521443 South_Bounding_Coordinate: 17.906286,"The Federal Emergency Management Agency (FEMA) has developed the Advisory Flood Zones. They provide full geospatial representation of the coastal and riverine Advisory Base Flood Elevations (0.2% annual chance flood hazard), including coastal storm surge and wave components."
Fincas_receptoras,"Fincas Receptoras, 2010",,"División de empresas pecuarias, JCA",2008.0,not provided,NAD 1983 StatePlane Puerto Rico Virgin Islands FIPS 5200 (Meters),West_Bounding_Coordinate: -67.167986 East_Bounding_Coordinate: -65.447739 North_Bounding_Coordinate: 18.509894 South_Bounding_Coordinate: 17.969123,"Locations of livestock operations designated as recipient farms for animal manure waste. These include swine and cattle operations with oxidation ponds and sprinkler systems, as well as facilities that manage poultry litter (chicken manure)."
geology_2018,g15_geologia_geology_20k24jul2108,,PR Office of Management and Budget,Julio 2018,Not provided,NAD_1983_2011_StatePlane_Puerto_Rico_Virgin_Isls,West_Bounding_Coordinate: -67.954456 East_Bounding_Coordinate: -65.21959 North_Bounding_Coordinate: 18.517236 South_Bounding_Coordinate: 17.875309,"For the islands of Vieques, Culebra, and Desecheo, published studies with maps at other scales are available. The Guánica and Rincón quadrangles were completed using unofficial 1:20,000-scale versions; these are the most complete versions we were able to obtain"
Huellas_vertederos,"Huellas de verteros, tomadas de mensuras",,GIS-Junta de Planificación- Municipios,22 de septiembre de 2006,not provided,NAD 1983 StatePlane Puerto Rico Virgin Islands FIPS 5200 (Meters),West_Bounding_Coordinate: -67.157305 East_Bounding_Coordinate: -65.316564 North_Bounding_Coordinate: 18.480062 South_Bounding_Coordinate: 17.949535,"The landfill boundaries were created to promote the conservation and proper management of solid waste, fostering public health and the sustainable development of the surrounding areas"
Linea_vegetación,"Línea de Vegetación Permanente, 2007",,"División de Geoinformática, DRNA",2009.0,Not provided,NAD 1983 StatePlane Puerto Rico Virgin Islands FIPS 5200 (Meters),West_Bounding_Coordinate: -67.272077 East_Bounding_Coordinate: -65.242813 North_Bounding_Coordinate: 18.516897 South_Bounding_Coordinate: 17.924002,"Delineation of the permanent vegetation line in coastal areas as of 2007. It was generated using 2007 LiDAR data, as well as aerial and infrared imagery collected in 2007."
