doc_id,title,year,municipio,tipo,url
DOC-033,Plan de Recuperación Municipal de Adjuntas,2022,Adjuntas,Plan de Recuperación,https://cdn.recuperacion.pr.gov/w3cacheitdg/wp-content/uploads/2023/04/Adjuntas-Final-Plan-document-Signed.pdf
HMP-001,Plan de Mitigación de Riesgos de Adjuntas,2020,Adjuntas,Plan de Mitigación,https://docs.pr.gov/files/JP-Junta%20de%20Planificacion/Planes%20de%20Mitigaci%C3%B3n%20Aprobados/Actualizados%20por%20los%20municipios/Adju-Approved-HMP.pdf
DOC-034,Plan de Recuperación Municipal de Aguada,2022,Aguada,Plan de Recuperación,https://cdn.recuperacion.pr.gov/w3cacheitdg/wp-content/uploads/2023/04/Aguada-PL-Final-Plan-document-Signed.pdf
HMP-002,Plan de Mitigación de Riesgos de Aguada,2020,Aguada,Plan de Mitigación,https://docs.pr.gov/files/JP-Junta%20de%20Planificacion/Planes%20de%20Mitigaci%C3%B3n%20Aprobados/Actualizados%20por%20los%20municipios/Agda-Approved-HMP_2022.pdf
HMP-003,Plan de Mitigación de Riesgos de Aguadilla,2024,Aguadilla,Plan de Mitigación,https://docs.pr.gov/files/JP-Junta%20de%20Planificacion/Planes%20de%20Mitigaci%C3%B3n%20Aprobados/Actualizados%20por%20los%20municipios/Agll-ApprovedHMP.pdf
HMP-004,Plan de Mitigación de Riesgos - Aguas Buenas,2020,Aguas Buenas,Plan de Mitigación,https://docs.pr.gov/files/JP-Junta%20de%20Planificacion/Planes%20de%20Mitigaci%C3%B3n%20Aprobados/Actualizados%20por%20los%20municipios/AGBU-Approved-HMP_2022.pdf
WCRP-038,Plan de Resiliencia Comunitaria Comunidad Juan Asencio,2025,Aguas Buenas,Plan,https://recuperacion.pr.gov/wcrp/assets/planes/2025-03-10_PLN_WCRP_CRP_Juan_Asencio_vfinal.pdf
DOC-015,Plan Sectorial para la Reserva Natural Cañon San Cristobal,2016,Aibonito,Plan Sectorial,https://jp.pr.gov/wp-content/uploads/2022/02/Plan-Sectorial-para-la-Reserva-Natural-Canon-San-Cristobal.pdf
DOC-037,Plan de Recuperación Municipal de Aibonito,2022,Aibonito,Plan de Recuperación,https://cdn.recuperacion.pr.gov/w3cacheitdg/wp-content/uploads/2023/03/Aibonito-PL-Final-Plan-document-Signed-PR-MRP-00049-Applicant-10-21-2022.pdf
HMP-005,Plan de Mitigación de Riesgos - Aibonito,2021,Aibonito,Plan de Mitigación,https://docs.pr.gov/files/JP-Junta%20de%20Planificacion/Planes%20de%20Mitigaci%C3%B3n%20Aprobados/Actualizados%20por%20los%20municipios/Aibo-HMP-Final-Approved.pdf
DOC-038,Plan de Recuperación Municipal de Añasco,2022,Añasco,Plan de Recuperación,https://cdn.recuperacion.pr.gov/w3cacheitdg/wp-content/uploads/2023/07/Anasco-Final-Plan-document-Signed.pdf
HMP-006,Plan de Mitigación de Riesgos - Añasco,2020,Añasco,Plan de Mitigación,https://docs.pr.gov/files/JP-Junta%20de%20Planificacion/Planes%20de%20Mitigaci%C3%B3n%20Aprobados/Actualizados%20por%20los%20municipios/Anas-Approved-HMP-200805.pdf
POT-062,"""MEMORIAL DEL PLAN DE USO MUNICIPAL DE AÑASCO (PUTM)""",2016,Añasco,Plan,https://gis.jp.pr.gov/Externo_Econ/Anasco/PLAN%20DE%20USOS%20DE%20TERRENOS%20DE%20A%C3%91ASCO-rev%20MRR.pdf
DOC-017,Plan Sectorial para la Reserva Natural de Río Cialitos,2016,Arecibo,Plan Sectorial,https://jp.pr.gov/wp-content/uploads/2022/01/Plan-Sectorial-Reserva-Natural-Rio-Cialitos.pdf
DOC-039,Plan de Recuperación Municipal de Arecibo,2022,Arecibo,Plan,https://arecibo.pr.gov/wp-content/uploads/2023/07/MRP-ARECIBO.pdf
HMP-007,Plan de Mitigación de Riesgos de Arecibo,2020,Arecibo,Plan de Mitigación,https://docs.pr.gov/files/JP-Junta%20de%20Planificacion/Planes%20de%20Mitigaci%C3%B3n%20Aprobados/Actualizados%20por%20los%20municipios/AREC-Approved-HMP-200622.pdf
DOC-022,Orden Ejectiva para aprobar la delimitación y la designación de la Reserva Natural Punta Guilarte,2016,Arroyo,Orden ejecutiva,https://docs.pr.gov/files/JP-Junta%20de%20Planificacion/Planes/Reserva%20Natural%20de%20Punta%20Guilarte%20en%20el%20Municipio%20de%20Arroyo/OE-2016-074.pdf
HMP-008,Plan de Mitigación de Riesgos - Arroyo,2020,Arroyo,Plan de Mitigación,https://docs.pr.gov/files/JP-Junta%20de%20Planificacion/Planes%20de%20Mitigaci%C3%B3n%20Aprobados/Actualizados%20por%20los%20municipios/Arro-Plan-ApprovedFEMA-201019.pdf
DOC-041,Plan de Recuperación Municipal de Barceloneta,2022,Barceloneta,Plan de Recuperación,https://cdn.recuperacion.pr.gov/w3cacheitdg/wp-content/uploads/2023/07/Barceloneta-Final-Plan-document-Signed.pdf
HMP-009,Plan de Mitigación de Riesgos - Barceloneta,2020,Barceloneta,Plan de Mitigación,https://docs.pr.gov/files/JP-Junta%20de%20Planificacion/Planes%20de%20Mitigaci%C3%B3n%20Aprobados/Actualizados%20por%20los%20municipios/Barc-Approved-HMP-210407-1.pdf
DOC-042,Plan de Recuperación Municipal de Barranquitas,2022,Barranquitas,Plan de Recuperación,https://recuperacion.pr.gov/wp-content/uploads/2023/03/MRP-Barranquitas-borrador-final.pdf
HMP-010,Plan de Mitigación de Riesgos - Barranquitas,2020,Barranquitas,Plan de Mitigación,https://docs.pr.gov/files/JP-Junta%20de%20Planificacion/Planes%20de%20Mitigaci%C3%B3n%20Aprobados/Actualizados%20por%20los%20municipios/BARR-Approved-HMP-200810_with-Certif-1.pdf
HMP-012,Plan de Mitigación de Riesgos - Cabo Rojo,2020,Cabo Rojo,Plan de Mitigación,https://docs.pr.gov/files/JP-Junta%20de%20Planificacion/Planes%20de%20Mitigaci%C3%B3n%20Aprobados/Actualizados%20por%20los%20municipios/CROJ-Approved-HMP-210223.pdf
